transaction_id,from_account,to_account,amount,date,method,fir_number,pattern,is_synthetic
TXN00041,AC0006,AC0027,683469.59,2024-01-19,RTGS,FIR-2024-BAG-0018,layering,True
TXN00042,AC0027,AC0057,657261.89,2024-01-19,RTGS,FIR-2024-BAG-0018,layering,True
TXN00043,AC0057,AC0027,577997.83,2024-01-20,NEFT,FIR-2024-BAG-0018,layering,True
TXN00044,AC0027,COA005,462431.25,2024-01-22,RTGS,FIR-2024-BAG-0018,cashout,True
TXN00045,VAC0014,AC0030,86917.5,2025-10-02,IMPS,FIR-2025-SHI-0022,deposit,True
TXN00046,VAC0015,AC0030,86917.5,2025-10-05,IMPS,FIR-2025-SHI-0022,deposit,True
TXN00047,VAC0015,AC0030,173835.0,2025-10-03,NEFT,FIR-2025-SHI-0022,deposit,True
TXN00048,AC0030,AC0033,326272.09,2025-10-05,NEFT,FIR-2025-SHI-0022,layering,True
TXN00049,AC0033,AC0042,301080.12,2025-10-05,NEFT,FIR-2025-SHI-0022,layering,True
TXN00050,AC0042,COA025,255339.6,2025-10-05,RTGS,FIR-2025-SHI-0022,cashout,True
TXN00051,VAC0016,AC0055,35143.0,2025-03-02,UPI,FIR-2025-KOL-0028,deposit,True
TXN00052,AC0055,AC0001,53287.41,2025-03-03,IMPS,FIR-2025-KOL-0028,layering,True
TXN00053,AC0001,AC0041,49224.7,2025-03-03,UPI,FIR-2025-KOL-0028,layering,True
TXN00054,VAC0017,AC0059,1777869.0,2024-02-19,NEFT,FIR-2024-UDU-0034,deposit,True
TXN00055,AC0059,AC0046,1541550.43,2024-02-17,RTGS,FIR-2024-UDU-0034,layering,True
TXN00056,AC0046,AC0050,1299112.59,2024-02-19,RTGS,FIR-2024-UDU-0034,layering,True
TXN00057,AC0050,AC0025,1084944.64,2024-02-21,NEFT,FIR-2024-UDU-0034,layering,True
TXN00058,VAC0018,AC0050,258951.0,2025-12-14,NEFT,FIR-2025-KAL-0035,deposit,True
TXN00059,VAC0018,AC0050,129475.5,2025-12-12,IMPS,FIR-2025-KAL-0035,deposit,True
TXN00060,AC0050,AC0026,196792.37,2025-12-14,IMPS,FIR-2025-KAL-0035,layering,True
TXN00061,AC0026,AC0014,187719.98,2025-12-15,IMPS,FIR-2025-KAL-0035,layering,True
TXN00062,AC0014,COA011,165755.97,2025-12-16,IMPS,FIR-2025-KAL-0035,cashout,True
TXN00063,VAC0019,AC0029,96126.5,2025-06-14,IMPS,FIR-2025-TUM-0042,deposit,True
TXN00064,VAC0019,AC0029,96126.5,2025-06-15,NEFT,FIR-2025-TUM-0042,deposit,True
TXN00065,VAC0020,AC0033,40790.86,2024-06-13,UPI,FIR-2024-BAG-0043,structuring,True
TXN00066,VAC0020,AC0033,46536.59,2024-06-15,IMPS,FIR-2024-BAG-0043,structuring,True
TXN00067,VAC0020,AC0033,41581.51,2024-06-17,UPI,FIR-2024-BAG-0043,structuring,True
TXN00068,VAC0020,AC0033,44674.55,2024-06-17,IMPS,FIR-2024-BAG-0043,structuring,True
TXN00069,VAC0020,AC0033,46551.87,2024-06-17,UPI,FIR-2024-BAG-0043,structuring,True
TXN00070,VAC0020,AC0033,17667.12,2024-06-19,UPI,FIR-2024-BAG-0043,structuring,True
TXN00071,VAC0021,AC0033,237802.5,2024-06-14,NEFT,FIR-2024-BAG-0043,deposit,True
TXN00072,AC0033,AC0009,379920.06,2024-06-15,RTGS,FIR-2024-BAG-0043,layering,True
TXN00073,AC0009,AC0044,306592.64,2024-06-15,RTGS,FIR-2024-BAG-0043,layering,True
TXN00074,AC0044,COA008,284220.41,2024-06-16,RTGS,FIR-2024-BAG-0043,cashout,True
TXN00075,VAC0022,AC0034,32527.0,2025-01-10,UPI,FIR-2025-MAN-0045,deposit,True
TXN00076,VAC0022,AC0034,32527.0,2025-01-12,UPI,FIR-2025-MAN-0045,deposit,True
TXN00077,VAC0023,AC0034,32527.0,2025-01-12,UPI,FIR-2025-MAN-0045,deposit,True
TXN00078,VAC0023,AC0034,16263.5,2025-01-09,UPI,FIR-2025-MAN-0045,deposit,True
TXN00079,VAC0024,AC0051,183627.0,2024-06-23,IMPS,FIR-2024-BAG-0047,deposit,True
TXN00080,VAC0025,AC0051,91813.5,2024-06-20,IMPS,FIR-2024-BAG-0047,deposit,True
TXN00081,AC0051,AC0037,342356.69,2024-06-23,RTGS,FIR-2024-BAG-0047,layering,True
TXN00082,AC0037,COA001,283853.84,2024-06-23,NEFT,FIR-2024-BAG-0047,cashout,True
TXN00083,VAC0026,AC0046,336166.0,2025-06-03,NEFT,FIR-2025-VIJ-0048,deposit,True
TXN00084,AC0046,AC0009,304142.36,2025-06-03,NEFT,FIR-2025-VIJ-0048,layering,True
TXN00085,AC0009,AC0019,271244.08,2025-06-05,RTGS,FIR-2025-VIJ-0048,layering,True
TXN00086,AC0019,AC0044,225832.81,2025-06-05,NEFT,FIR-2025-VIJ-0048,layering,True
TXN00087,VAC0027,AC0028,51436.25,2025-06-21,NEFT,FIR-2025-DHA-0049,deposit,True
TXN00088,VAC0027,AC0028,102872.5,2025-06-23,NEFT,FIR-2025-DHA-0049,deposit,True
TXN00089,VAC0028,AC0028,49889.82,2025-06-20,UPI,FIR-2025-DHA-0049,structuring,True
TXN00090,VAC0028,AC0028,45397.51,2025-06-21,UPI,FIR-2025-DHA-0049,structuring,True
TXN00091,VAC0028,AC0028,7585.17,2025-06-23,IMPS,FIR-2025-DHA-0049,structuring,True
TXN00092,AC0028,AC0046,185800.58,2025-06-23,NEFT,FIR-2025-DHA-0049,layering,True
TXN00093,AC0046,AC0025,173881.77,2025-06-25,NEFT,FIR-2025-DHA-0049,layering,True
TXN00094,AC0025,AC0037,139968.78,2025-06-25,IMPS,FIR-2025-DHA-0049,layering,True
TXN00095,AC0037,COA005,116602.94,2025-06-25,NEFT,FIR-2025-DHA-0049,cashout,True
TXN00096,VAC0029,AC0026,992589.0,2024-10-23,RTGS,FIR-2024-BAG-0053,deposit,True
TXN00097,AC0026,AC0011,815262.7,2024-10-24,RTGS,FIR-2024-BAG-0053,layering,True
TXN00098,AC0011,AC0028,773226.7,2024-10-24,NEFT,FIR-2024-BAG-0053,layering,True
TXN00099,AC0028,AC0043,710077.1,2024-10-26,NEFT,FIR-2024-BAG-0053,layering,True
TXN00100,AC0043,COA013,570353.26,2024-10-28,NEFT,FIR-2024-BAG-0053,cashout,True
TXN00101,VAC0030,AC0060,363043.0,2024-11-19,RTGS,FIR-2024-BEL-0054,deposit,True
TXN00102,AC0060,AC0058,336950.39,2024-11-22,NEFT,FIR-2024-BEL-0054,layering,True
TXN00103,AC0058,AC0056,286767.93,2024-11-22,NEFT,FIR-2024-BEL-0054,layering,True
TXN00104,AC0056,COA013,268681.04,2024-11-22,RTGS,FIR-2024-BEL-0054,cashout,True
TXN00105,VAC0031,AC0004,60900.0,2025-04-24,NEFT,FIR-2025-SHI-0055,deposit,True
TXN00106,AC0004,AC0056,51094.8,2025-04-25,IMPS,FIR-2025-SHI-0055,layering,True
TXN00107,AC0056,AC0006,41255.31,2025-04-25,UPI,FIR-2025-SHI-0055,layering,True
TXN00108,AC0006,AC0025,37896.46,2025-04-26,UPI,FIR-2025-SHI-0055,layering,True
TXN00109,AC0025,COA011,32703.13,2025-04-27,UPI,FIR-2025-SHI-0055,cashout,True
TXN00110,VAC0032,AC0051,372009.0,2024-02-21,RTGS,FIR-2024-RAI-0057,deposit,True
TXN00111,AC0051,AC0015,345202.64,2024-02-21,NEFT,FIR-2024-RAI-0057,layering,True
TXN00112,AC0015,AC0057,310983.42,2024-02-22,NEFT,FIR-2024-RAI-0057,layering,True
TXN00113,AC0057,COA005,292746.26,2024-02-22,RTGS,FIR-2024-RAI-0057,cashout,True
TXN00114,VAC0033,AC0027,235689.0,2025-09-14,NEFT,FIR-2025-UDU-0059,deposit,True
TXN00115,VAC0033,AC0027,117844.5,2025-09-14,NEFT,FIR-2025-UDU-0059,deposit,True
TXN00116,AC0027,AC0010,220649.06,2025-09-13,NEFT,FIR-2025-UDU-0059,layering,True
TXN00117,VAC0034,AC0046,39081.0,2025-04-29,IMPS,FIR-2025-DAV-0064,deposit,True
TXN00118,VAC0034,AC0046,78162.0,2025-04-29,NEFT,FIR-2025-DAV-0064,deposit,True
TXN00119,VAC0035,AC0046,78162.0,2025-04-28,IMPS,FIR-2025-DAV-0064,deposit,True
TXN00120,VAC0035,AC0046,78162.0,2025-04-27,IMPS,FIR-2025-DAV-0064,deposit,True
TXN00121,AC0046,AC0038,140441.29,2025-04-29,NEFT,FIR-2025-DAV-0064,layering,True
TXN00122,AC0038,AC0039,132138.42,2025-04-29,NEFT,FIR-2025-DAV-0064,layering,True
TXN00123,AC0039,COA014,111656.8,2025-05-01,NEFT,FIR-2025-DAV-0064,cashout,True
TXN00124,VAC0036,AC0004,160493.0,2025-03-23,NEFT,FIR-2025-DAV-0065,deposit,True
TXN00125,AC0004,AC0041,267660.53,2025-03-23,NEFT,FIR-2025-DAV-0065,layering,True
TXN00126,AC0041,AC0015,230533.13,2025-03-25,NEFT,FIR-2025-DAV-0065,layering,True
TXN00127,AC0015,AC0045,206119.86,2025-03-26,RTGS,FIR-2025-DAV-0065,layering,True
TXN00128,VAC0037,AC0027,74781.5,2025-10-30,IMPS,FIR-2025-VIJ-0067,deposit,True
TXN00129,VAC0037,AC0027,74781.5,2025-10-27,NEFT,FIR-2025-VIJ-0067,deposit,True
TXN00130,VAC0038,AC0020,41771.25,2025-06-13,IMPS,FIR-2025-HAS-0070,deposit,True
TXN00131,VAC0039,AC0020,41771.25,2025-06-12,UPI,FIR-2025-HAS-0070,deposit,True
TXN00132,VAC0039,AC0020,83542.5,2025-06-10,NEFT,FIR-2025-HAS-0070,deposit,True
TXN00133,AC0020,AC0042,152212.37,2025-06-11,NEFT,FIR-2025-HAS-0070,layering,True
TXN00134,AC0042,AC0026,134033.82,2025-06-12,NEFT,FIR-2025-HAS-0070,layering,True
TXN00135,AC0026,COA001,121588.16,2025-06-12,IMPS,FIR-2025-HAS-0070,cashout,True
TXN00136,VAC0040,AC0034,349842.0,2024-06-01,RTGS,FIR-2024-BAG-0072,deposit,True
TXN00137,VAC0040,AC0034,349842.0,2024-06-01,RTGS,FIR-2024-BAG-0072,deposit,True
TXN00138,VAC0041,AC0008,243741.5,2025-06-17,NEFT,FIR-2025-MAN-0073,deposit,True
TXN00139,AC0008,AC0029,372778.98,2025-06-18,RTGS,FIR-2025-MAN-0073,layering,True
TXN00140,AC0029,AC0001,335255.14,2025-06-19,RTGS,FIR-2025-MAN-0073,layering,True
TXN00141,AC0001,COA016,303251.21,2025-06-21,RTGS,FIR-2025-MAN-0073,cashout,True
TXN00142,VAC0042,AC0003,159995.0,2024-09-11,NEFT,FIR-2024-BEN-0075,deposit,True
TXN00143,AC0003,AC0045,134592.32,2024-09-09,NEFT,FIR-2024-BEN-0075,layering,True
TXN00144,AC0045,AC0054,118471.27,2024-09-09,IMPS,FIR-2024-BEN-0075,layering,True
TXN00145,AC0054,AC0050,112376.52,2024-09-11,IMPS,FIR-2024-BEN-0075,layering,True
TXN00146,AC0050,COA008,95723.22,2024-09-12,NEFT,FIR-2024-BEN-0075,cashout,True
TXN00147,VAC0043,AC0008,45728.5,2024-06-28,UPI,FIR-2024-KAL-0076,deposit,True
TXN00148,VAC0044,AC0008,45728.5,2024-06-27,UPI,FIR-2024-KAL-0076,deposit,True
TXN00149,VAC0045,AC0014,49056.54,2025-10-19,IMPS,FIR-2025-BAG-0083,structuring,True
TXN00150,VAC0045,AC0014,41056.46,2025-10-21,UPI,FIR-2025-BAG-0083,structuring,True
TXN00151,AC0014,AC0057,82191.86,2025-10-22,NEFT,FIR-2025-BAG-0083,layering,True
TXN00152,AC0057,AC0030,66928.98,2025-10-24,IMPS,FIR-2025-BAG-0083,layering,True
TXN00153,AC0030,AC0045,61450.89,2025-10-24,IMPS,FIR-2025-BAG-0083,layering,True
TXN00154,VAC0046,AC0059,370620.0,2024-01-14,NEFT,FIR-2024-VIJ-0084,deposit,True
TXN00155,VAC0046,AC0059,370620.0,2024-01-12,NEFT,FIR-2024-VIJ-0084,deposit,True
TXN00156,VAC0047,AC0049,318192.0,2024-11-14,NEFT,FIR-2024-BAL-0086,deposit,True
TXN00157,AC0049,AC0036,257820.86,2024-11-15,RTGS,FIR-2024-BAL-0086,layering,True
TXN00158,AC0036,COA001,211532.59,2024-11-17,RTGS,FIR-2024-BAL-0086,cashout,True
TXN00159,VAC0048,AC0053,122177.75,2025-10-12,IMPS,FIR-2025-CHI-0087,deposit,True
TXN00160,VAC0048,AC0053,244355.5,2025-10-14,RTGS,FIR-2025-CHI-0087,deposit,True
TXN00161,VAC0049,AC0053,244355.5,2025-10-12,RTGS,FIR-2025-CHI-0087,deposit,True
TXN00162,VAC0049,AC0053,122177.75,2025-10-14,IMPS,FIR-2025-CHI-0087,deposit,True
TXN00163,AC0053,AC0014,441055.65,2025-10-13,RTGS,FIR-2025-CHI-0087,layering,True
TXN00164,AC0014,AC0008,388961.91,2025-10-13,RTGS,FIR-2025-CHI-0087,layering,True
TXN00165,VAC0050,AC0016,110789.5,2024-01-17,IMPS,FIR-2024-BEN-0089,deposit,True
TXN00166,VAC0050,AC0016,110789.5,2024-01-16,NEFT,FIR-2024-BEN-0089,deposit,True
TXN00167,VAC0051,AC0016,47488.61,2024-01-15,UPI,FIR-2024-BEN-0089,structuring,True
TXN00168,VAC0051,AC0016,41783.0,2024-01-17,UPI,FIR-2024-BEN-0089,structuring,True
TXN00169,VAC0051,AC0016,21517.89,2024-01-19,IMPS,FIR-2024-BEN-0089,structuring,True
TXN00170,AC0016,AC0008,175489.56,2024-01-17,IMPS,FIR-2024-BEN-0089,layering,True
TXN00171,AC0008,COA024,147922.78,2024-01-19,IMPS,FIR-2024-BEN-0089,cashout,True
TXN00172,VAC0052,AC0006,76939.5,2025-05-10,IMPS,FIR-2025-BAL-0096,deposit,True
TXN00173,VAC0052,AC0006,76939.5,2025-05-10,NEFT,FIR-2025-BAL-0096,deposit,True
TXN00174,VAC0053,AC0006,76939.5,2025-05-11,IMPS,FIR-2025-BAL-0096,deposit,True
TXN00175,VAC0054,AC0037,43669.31,2025-04-02,UPI,FIR-2025-RAI-0098,structuring,True
TXN00176,VAC0054,AC0037,46024.17,2025-04-04,IMPS,FIR-2025-RAI-0098,structuring,True
TXN00177,VAC0054,AC0037,42829.91,2025-04-06,IMPS,FIR-2025-RAI-0098,structuring,True
TXN00178,VAC0054,AC0037,4932.1,2025-04-06,UPI,FIR-2025-RAI-0098,structuring,True
TXN00179,VAC0055,AC0037,42287.21,2025-04-02,UPI,FIR-2025-RAI-0098,structuring,True
TXN00180,VAC0055,AC0037,43440.06,2025-04-03,IMPS,FIR-2025-RAI-0098,structuring,True
TXN00181,VAC0055,AC0037,46195.21,2025-04-04,UPI,FIR-2025-RAI-0098,structuring,True
TXN00182,VAC0055,AC0037,5533.02,2025-04-05,IMPS,FIR-2025-RAI-0098,structuring,True
TXN00183,AC0037,AC0020,219169.33,2025-04-05,RTGS,FIR-2025-RAI-0098,layering,True
TXN00184,VAC0056,AC0053,94350.75,2024-12-05,IMPS,FIR-2024-DHA-0101,deposit,True
TXN00185,VAC0057,AC0053,94350.75,2024-12-05,NEFT,FIR-2024-DHA-0101,deposit,True
TXN00186,VAC0057,AC0053,94350.75,2024-12-03,NEFT,FIR-2024-DHA-0101,deposit,True
TXN00187,AC0053,AC0038,288202.43,2024-12-03,NEFT,FIR-2024-DHA-0101,layering,True
TXN00188,AC0038,COA001,251859.74,2024-12-05,NEFT,FIR-2024-DHA-0101,cashout,True
TXN00189,VAC0058,AC0029,1011608.0,2024-12-30,NEFT,FIR-2025-BEL-0102,deposit,True
TXN00190,VAC0058,AC0029,505804.0,2025-01-01,NEFT,FIR-2025-BEL-0102,deposit,True
TXN00191,VAC0059,AC0007,44957.12,2024-03-06,UPI,FIR-2024-BAG-0104,structuring,True
TXN00192,VAC0059,AC0007,48373.27,2024-03-08,UPI,FIR-2024-BAG-0104,structuring,True
TXN00193,VAC0059,AC0007,45476.08,2024-03-08,UPI,FIR-2024-BAG-0104,structuring,True
TXN00194,VAC0059,AC0007,4114.02,2024-03-08,UPI,FIR-2024-BAG-0104,structuring,True
TXN00195,VAC0060,AC0007,142920.5,2024-03-07,IMPS,FIR-2024-BAG-0104,deposit,True
TXN00196,AC0007,AC0040,229588.42,2024-03-09,NEFT,FIR-2024-BAG-0104,layering,True
TXN00197,AC0040,AC0006,194345.66,2024-03-09,NEFT,FIR-2024-BAG-0104,layering,True
TXN00198,AC0006,COA019,156718.03,2024-03-09,IMPS,FIR-2024-BAG-0104,cashout,True
TXN00199,VAC0061,AC0030,247672.0,2024-04-10,RTGS,FIR-2024-SHI-0107,deposit,True
TXN00200,AC0030,AC0044,447477.84,2024-04-08,RTGS,FIR-2024-SHI-0107,layering,True
TXN00201,AC0044,COA004,398788.09,2024-04-09,NEFT,FIR-2024-SHI-0107,cashout,True
TXN00202,VAC0062,AC0030,495379.0,2024-01-22,NEFT,FIR-2024-VIJ-0110,deposit,True
TXN00203,AC0030,AC0001,390821.47,2024-01-22,NEFT,FIR-2024-VIJ-0110,layering,True
TXN00204,AC0001,AC0011,373500.23,2024-01-23,NEFT,FIR-2024-VIJ-0110,layering,True
TXN00205,VAC0063,AC0032,215664.5,2024-04-28,RTGS,FIR-2024-BEL-0112,deposit,True
TXN00206,VAC0063,AC0032,215664.5,2024-04-28,RTGS,FIR-2024-BEL-0112,deposit,True
TXN00207,VAC0064,AC0032,107832.25,2024-04-29,IMPS,FIR-2024-BEL-0112,deposit,True
TXN00208,AC0032,AC0011,407187.7,2024-04-30,RTGS,FIR-2024-BEL-0112,layering,True
TXN00209,AC0011,AC0054,387161.49,2024-05-02,NEFT,FIR-2024-BEL-0112,layering,True
TXN00210,AC0054,COA010,329339.65,2024-05-04,NEFT,FIR-2024-BEL-0112,cashout,True
TXN00211,VAC0065,AC0051,179640.0,2025-12-15,NEFT,FIR-2025-TUM-0121,deposit,True
TXN00212,VAC0065,AC0051,179640.0,2025-12-13,NEFT,FIR-2025-TUM-0121,deposit,True
TXN00213,VAC0066,AC0051,43502.78,2025-12-12,UPI,FIR-2025-TUM-0121,structuring,True
TXN00214,VAC0066,AC0051,43668.47,2025-12-14,UPI,FIR-2025-TUM-0121,structuring,True
TXN00215,VAC0066,AC0051,42263.19,2025-12-15,UPI,FIR-2025-TUM-0121,structuring,True
TXN00216,VAC0066,AC0051,43340.68,2025-12-16,IMPS,FIR-2025-TUM-0121,structuring,True
TXN00217,VAC0066,AC0051,6864.88,2025-12-18,UPI,FIR-2025-TUM-0121,structuring,True
TXN00218,AC0051,AC0037,339179.74,2025-12-15,RTGS,FIR-2025-TUM-0121,layering,True
TXN00219,VAC0067,AC0060,44433.14,2024-10-23,UPI,FIR-2024-MYS-0128,structuring,True
TXN00220,VAC0067,AC0060,47335.52,2024-10-25,IMPS,FIR-2024-MYS-0128,structuring,True
TXN00221,VAC0067,AC0060,49110.77,2024-10-26,UPI,FIR-2024-MYS-0128,structuring,True
TXN00222,VAC0067,AC0060,47345.45,2024-10-27,IMPS,FIR-2024-MYS-0128,structuring,True
TXN00223,VAC0067,AC0060,46621.1,2024-10-27,UPI,FIR-2024-MYS-0128,structuring,True
TXN00224,VAC0067,AC0060,42292.3,2024-10-28,IMPS,FIR-2024-MYS-0128,structuring,True
TXN00225,VAC0067,AC0060,48744.13,2024-10-28,UPI,FIR-2024-MYS-0128,structuring,True
TXN00226,VAC0067,AC0060,43153.81,2024-10-30,UPI,FIR-2024-MYS-0128,structuring,True
TXN00227,VAC0067,AC0060,40900.34,2024-11-01,UPI,FIR-2024-MYS-0128,structuring,True
TXN00228,VAC0067,AC0060,41971.69,2024-11-03,IMPS,FIR-2024-MYS-0128,structuring,True
TXN00229,VAC0067,AC0060,45487.01,2024-11-05,IMPS,FIR-2024-MYS-0128,structuring,True
TXN00230,VAC0067,AC0060,47545.22,2024-11-05,UPI,FIR-2024-MYS-0128,structuring,True
TXN00231,VAC0067,AC0060,48775.67,2024-11-06,UPI,FIR-2024-MYS-0128,structuring,True
TXN00232,VAC0067,AC0060,49007.69,2024-11-07,IMPS,FIR-2024-MYS-0128,structuring,True
TXN00233,VAC0067,AC0060,43243.28,2024-11-07,UPI,FIR-2024-MYS-0128,structuring,True
TXN00234,VAC0067,AC0060,45051.38,2024-11-09,UPI,FIR-2024-MYS-0128,structuring,True
TXN00235,VAC0067,AC0060,44056.68,2024-11-09,IMPS,FIR-2024-MYS-0128,structuring,True
TXN00236,VAC0067,AC0060,43041.32,2024-11-11,UPI,FIR-2024-MYS-0128,structuring,True
TXN00237,VAC0067,AC0060,48754.47,2024-11-12,UPI,FIR-2024-MYS-0128,structuring,True
TXN00238,VAC0067,AC0060,41639.97,2024-11-14,IMPS,FIR-2024-MYS-0128,structuring,True
TXN00239,VAC0067,AC0060,47867.61,2024-11-14,UPI,FIR-2024-MYS-0128,structuring,True
TXN00240,VAC0067,AC0060,31707.43,2024-11-16,IMPS,FIR-2024-MYS-0128,structuring,True
TXN00241,AC0060,AC0042,922503.56,2024-10-24,NEFT,FIR-2024-MYS-0128,layering,True
TXN00242,AC0042,AC0017,858374.9,2024-10-26,RTGS,FIR-2024-MYS-0128,layering,True
TXN00243,AC0017,COA002,820706.64,2024-10-28,NEFT,FIR-2024-MYS-0128,cashout,True
TXN00244,VAC0068,AC0018,124191.25,2025-01-28,NEFT,FIR-2025-KAL-0136,deposit,True
TXN00245,VAC0069,AC0018,248382.5,2025-01-27,NEFT,FIR-2025-KAL-0136,deposit,True
TXN00246,VAC0069,AC0018,248382.5,2025-01-26,NEFT,FIR-2025-KAL-0136,deposit,True
TXN00247,VAC0070,AC0011,353514.75,2024-10-04,RTGS,FIR-2024-DAK-0150,deposit,True
TXN00248,VAC0071,AC0011,707029.5,2024-10-05,NEFT,FIR-2024-DAK-0150,deposit,True
TXN00249,VAC0071,AC0011,707029.5,2024-10-04,NEFT,FIR-2024-DAK-0150,deposit,True
TXN00250,AC0011,AC0031,1093897.04,2024-10-05,NEFT,FIR-2024-DAK-0150,layering,True
TXN00251,AC0031,AC0030,939951.73,2024-10-06,NEFT,FIR-2024-DAK-0150,layering,True
TXN00252,AC0030,COA024,908342.44,2024-10-06,NEFT,FIR-2024-DAK-0150,cashout,True
TXN00253,VAC0072,AC0052,264151.0,2025-01-14,RTGS,FIR-2025-MAN-0158,deposit,True
TXN00254,VAC0072,AC0052,132075.5,2025-01-15,IMPS,FIR-2025-MAN-0158,deposit,True
TXN00255,AC0052,AC0046,225586.07,2025-01-16,NEFT,FIR-2025-MAN-0158,layering,True
TXN00256,AC0046,COA016,192478.57,2025-01-17,IMPS,FIR-2025-MAN-0158,cashout,True
TXN00257,VAC0073,AC0030,12015.0,2025-05-09,UPI,FIR-2025-DAV-0163,deposit,True
TXN00258,VAC0074,AC0030,12015.0,2025-05-12,UPI,FIR-2025-DAV-0163,deposit,True
TXN00259,AC0030,AC0026,20388.36,2025-05-12,UPI,FIR-2025-DAV-0163,layering,True
TXN00260,AC0026,AC0009,19191.98,2025-05-14,IMPS,FIR-2025-DAV-0163,layering,True
TXN00261,VAC0075,AC0011,206045.0,2025-06-17,NEFT,FIR-2025-DHA-0165,deposit,True
TXN00262,AC0011,AC0056,318043.91,2025-06-16,NEFT,FIR-2025-DHA-0165,layering,True
